Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1349442726.451834,20,1349442726,454140902,auk,-0.012726462810123712,0.002119997520197303,0.35147146082660524,0.9361096917451871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015707963267948964,0.001308996938995747,0.0005235987755982988,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.12752999999999998,-0.21581999999999998,9.87867,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001
1349442726.4714987,21,1349442726,474140882,auk,-0.012838434392707678,0.002173261938650527,0.3513089778421254,0.9361690304760201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018325957145940458,-0.01308996938995747,0.007592182246175333,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.15696,-0.24524999999999997,9.84924,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001
1349442726.4918644,22,1349442726,494140863,auk,-0.012950387417684762,0.0022265653469093535,0.35114649376306467,0.9362283213994298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006021385919380436,-0.019634954084936207,0.01361356816555577,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.13734,-0.21581999999999998,9.84924,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001
1349442726.51157,23,1349442726,514140844,auk,-0.013062918302266862,0.0022764879525395904,0.35122911608491797,0.93619564503486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007853981633974482,0.007068583470577034,0.007068583470577034,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.12752999999999998,-0.22563,9.85905,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001
1349442726.5316114,24,1349442726,534140825,auk,-0.013145008507035441,0.002243543218783772,0.35139270482313434,0.9361331861771897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01308996938995747,-0.007068583470577034,-0.0057595865315812865,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.12752999999999998,-0.23543999999999998,9.84924,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001
1349442726.5516145,25,1349442726,554138899,auk,-0.013196421126690496,0.0021288775124446123,0.35155553637884684,0.9360715929838729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010471975511965976,0.00942477796076938,0.0002617993877991494,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.12752999999999998,-0.21581999999999998,9.87867,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001
1349442726.5715864,26,1349442726,574138880,auk,-0.01319679248491526,0.0021265742700502426,0.3517189063368399,0.9360102207108644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009162978572970229,-0.0015707963267948964,0.006021385919380436,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.11771999999999999,-0.24524999999999997,9.88848,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001
1349442726.5914567,27,1349442726,594138861,auk,-0.013248145416449794,0.0020118818221272977,0.35188169672344544,0.9359485618801857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020943951023931952,-0.003141592653589793,-0.010210176124166827,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.09809999999999999,-0.27468,9.89829,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001
1349442726.6114576,28,1349442726,614138842,auk,-0.0132994586674157,0.0018971716178565771,0.3520444566838973,0.9358868658428462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007068583470577034,0.0,0.002617993877991494,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.08829,-0.23543999999999998,9.87867,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001
1349442726.6317685,29,1349442726,634136915,auk,-0.013350265131466657,0.00178593882342946,0.35196217569467736,0.9359173081654745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010471975511965976,-0.009162978572970229,0.0002617993877991494,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.07848,-0.23543999999999998,9.87867,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001
